acc_val,epoch,iter_to_target,step,val_latency
,0,30.0,0,
,0,30.0,1,
,0,30.0,2,
,0,30.0,3,
,0,30.0,4,
,0,30.0,5,
,0,30.0,6,
,0,30.0,7,
,0,30.0,8,
,0,30.0,9,
,0,30.0,10,
,0,30.0,11,
,0,30.0,12,
0.09680000692605972,0,,12,2.2883999347686768
,0,30.0,13,
,0,30.0,14,
,0,30.0,15,
,0,30.0,16,
,0,30.0,17,
,0,30.0,18,
,0,30.0,19,
,0,30.0,20,
,0,30.0,21,
,0,30.0,22,
,0,30.0,23,
,0,30.0,24,
,0,30.0,25,
0.24480000138282776,0,,25,2.4212000370025635
,0,30.0,26,
,0,30.0,27,
,0,30.0,28,
,0,30.0,29,
,0,30.0,30,
,0,30.0,31,
,0,30.0,32,
,0,30.0,33,
,0,30.0,34,
,0,30.0,35,
,0,30.0,36,
,0,30.0,37,
,0,30.0,38,
0.13920000195503235,0,,38,2.7037999629974365
,0,30.0,39,
,0,30.0,40,
,0,30.0,41,
,0,30.0,42,
,0,30.0,43,
,0,30.0,44,
,0,30.0,45,
,0,30.0,46,
,0,30.0,47,
,0,30.0,48,
,0,30.0,49,
,0,30.0,50,
,0,30.0,51,
0.1096000075340271,0,,51,12.061599731445312
,0,30.0,52,
,0,30.0,53,
,0,30.0,54,
,1,30.0,55,
,1,30.0,56,
,1,30.0,57,
,1,30.0,58,
,1,30.0,59,
