acc_val,epoch,iter_to_target,step,val_latency
,0,30.0,0,
,0,30.0,1,
,0,30.0,2,
,0,30.0,3,
,0,30.0,4,
,0,30.0,5,
,0,30.0,6,
,0,30.0,7,
,0,30.0,8,
,0,30.0,9,
,0,30.0,10,
,0,30.0,11,
,0,30.0,12,
0.23080001771450043,0,,12,2.0917999744415283
,0,30.0,13,
,0,30.0,14,
,0,30.0,15,
,0,30.0,16,
,0,30.0,17,
,0,30.0,18,
,0,30.0,19,
,0,30.0,20,
,0,30.0,21,
,0,30.0,22,
,0,30.0,23,
,0,30.0,24,
,0,30.0,25,
0.5194000005722046,0,,25,1.8465999364852905
,0,30.0,26,
,0,30.0,27,
,0,30.0,28,
,0,30.0,29,
,0,30.0,30,
,0,30.0,31,
,0,30.0,32,
,0,30.0,33,
,0,30.0,34,
,0,30.0,35,
,0,30.0,36,
,0,30.0,37,
,0,30.0,38,
0.5738000273704529,0,,38,2.1468000411987305
,0,30.0,39,
,0,30.0,40,
,0,30.0,41,
,0,30.0,42,
,0,30.0,43,
,0,30.0,44,
,0,30.0,45,
,0,30.0,46,
,0,30.0,47,
,0,30.0,48,
,0,30.0,49,
,0,30.0,50,
,0,30.0,51,
0.5966000556945801,0,,51,4.934600353240967
,0,30.0,52,
,0,30.0,53,
,0,30.0,54,
,1,30.0,55,
,1,30.0,56,
,1,30.0,57,
,1,30.0,58,
,1,30.0,59,
,1,30.0,60,
,1,30.0,61,
,1,30.0,62,
,1,30.0,63,
,1,30.0,64,
,1,30.0,65,
,1,30.0,66,
,1,30.0,67,
0.43959999084472656,1,,67,14.271600723266602
,1,30.0,68,
,1,30.0,69,
,1,30.0,70,
,1,30.0,71,
,1,30.0,72,
,1,30.0,73,
,1,30.0,74,
,1,30.0,75,
,1,30.0,76,
,1,30.0,77,
,1,30.0,78,
,1,30.0,79,
,1,30.0,80,
0.30459997057914734,1,,80,21.575000762939453
,1,30.0,81,
,1,30.0,82,
,1,30.0,83,
,1,30.0,84,
,1,30.0,85,
,1,30.0,86,
,1,30.0,87,
